OBJECTID,CT20,FIP23,CITY,CSA,CT20FIP23CSA,Shape__Area,Shape__Length
3595,212202,44000,Los Angeles,Wilshire Center,21220244000Wilshire Center,2222489.591,6482.135685
3596,212203,44000,Los Angeles,Wilshire Center,21220344000Wilshire Center,1144387.686,4500.965016
3597,212204,44000,Los Angeles,Wilshire Center,21220444000Wilshire Center,2294675.173,6149.260592
3598,212303,44000,Los Angeles,Koreatown,21230344000Koreatown,1675286.081,5219.129582
3599,212304,44000,Los Angeles,Koreatown,21230444000Koreatown,2213853.596,6305.401451
3600,212305,44000,Los Angeles,Koreatown,21230544000Koreatown,1163116.726,4358.271392
3601,212306,44000,Los Angeles,Koreatown,21230644000Koreatown,1742868.429,5316.862274
3602,212410,44000,Los Angeles,Koreatown,21241044000Koreatown,1691956.448,5550.77601
3603,212420,44000,Los Angeles,Koreatown,21242044000Koreatown,1544109.367,4956.62922
3604,212501,44000,Los Angeles,Koreatown,21250144000Koreatown,856756.8232,3804.129906
3605,212502,44000,Los Angeles,Koreatown,21250244000Koreatown,3068550.953,8256.47664
3606,212610,44000,Los Angeles,Koreatown,21261044000Koreatown,3844250.507,8377.313092
3607,212620,44000,Los Angeles,Koreatown,21262044000Koreatown,3106612.798,7947.89847
3608,212701,44000,Los Angeles,Country Club Park,21270144000Country Club Park,5054933.937,10686.65713
3609,212702,44000,Los Angeles,Country Club Park,21270244000Country Club Park,9478865.642,13476.26541
3610,212800,44000,Los Angeles,Country Club Park,21280044000Country Club Park,8409511.445,11737.5322
3611,212900,44000,Los Angeles,Country Club Park,21290044000Country Club Park,4021555.22,8954.755344
3612,213100,44000,Los Angeles,Koreatown,21310044000Koreatown,5780643.037,10508.5317
3613,213201,44000,Los Angeles,Koreatown,21320144000Koreatown,3605253.454,8208.738578
3614,213202,44000,Los Angeles,Koreatown,21320244000Koreatown,3637304.772,8141.288183
3615,213310,44000,Los Angeles,Koreatown,21331044000Koreatown,3359272.705,7825.279144
3616,213320,44000,Los Angeles,Koreatown,21332044000Koreatown,3352229.193,7850.41878
3617,213401,44000,Los Angeles,Pico-Union,21340144000Pico-Union,2110757.61,6327.303874
