City,County,2018,2019,2020,2021,2022,Average
STANTON,ORANGE,101,85,94,123,122,105.0
EMERYVILLE,ALAMEDA,132,134,90,76,92,104.8
LAWNDALE,"LOS ANGELES",106,120,81,112,103,104.4
CALABASAS,"LOS ANGELES",134,108,75,95,108,104.0
"LAGUNA BEACH",ORANGE,135,99,98,77,106,103.0
BURLINGAME,"SAN MATEO",140,109,82,87,95,102.6
"SOUTH EL MONTE","LOS ANGELES",119,111,93,89,98,102.0
COVINA,"LOS ANGELES",136,88,81,86,100,98.2
DUARTE,"LOS ANGELES",137,98,83,90,79,97.4
CAMPBELL,"SANTA CLARA",130,128,49,63,107,95.4
"SAN FERNANDO","LOS ANGELES",97,94,91,91,96,93.8
NORCO,RIVERSIDE,114,89,71,90,100,92.8
"LA QUINTA",RIVERSIDE,87,83,83,87,108,89.6
CORONADO,"SAN DIEGO",101,94,70,79,100,88.8
"DANA POINT",ORANGE,111,78,65,88,101,88.6
PACIFICA,"SAN MATEO",102,120,78,70,73,88.6
"DESERT HOT SPRINGS",RIVERSIDE,63,109,65,85,119,88.2
"LOMA LINDA","SAN BERNARDINO",100,90,74,104,72,88.0
"TEMPLE CITY","LOS ANGELES",114,107,68,64,80,86.6
"PASO ROBLES","SAN LUIS OBISPO",118,91,78,96,47,86.0
ATWATER,MERCED,62,68,88,131,80,85.8
ATASCADERO,"SAN LUIS OBISPO",79,103,84,87,74,85.4
"LA VERNE","LOS ANGELES",70,79,80,95,92,83.2
POWAY,"SAN DIEGO",101,84,55,78,98,83.2
MOORPARK,VENTURA,82,93,59,89,91,82.8
BARSTOW,"SAN BERNARDINO",84,98,68,89,66,81.0
SANTEE,"SAN DIEGO",107,56,76,83,81,80.6
"SAN CARLOS","SAN MATEO",102,73,75,69,80,79.8
COACHELLA,RIVERSIDE,70,98,60,75,91,78.8
TULARE,TULARE,66,95,80,73,79,78.6
"LA PUENTE","LOS ANGELES",101,74,56,88,73,78.4
ARTESIA,"LOS ANGELES",85,96,63,68,75,77.4
HOLLISTER,"SAN BENITO",85,54,62,72,112,77.0
"FOSTER CITY","SAN MATEO",93,90,59,71,69,76.4
WILDOMAR,RIVERSIDE,94,81,50,70,82,75.4
"LOS ALTOS","SANTA CLARA",85,94,69,54,64,73.2
BENICIA,SOLANO,76,70,73,68,78,73.0
"SUISUN CITY",SOLANO,70,71,65,61,97,72.8
"AGOURA HILLS","LOS ANGELES",57,85,61,67,81,70.2
DANVILLE,"CONTRA COSTA",68,97,56,68,58,69.4
"LA PALMA",ORANGE,83,65,68,68,63,69.4
ALBANY,ALAMEDA,98,69,48,69,61,69.0
"RANCHO MIRAGE",RIVERSIDE,93,70,53,60,64,68.0
"SOUTH PASADENA","LOS ANGELES",78,75,55,66,62,67.2
SEASIDE,MONTEREY,104,58,47,54,73,67.2
DELANO,KERN,138,23,17,42,115,67.0
"LOS ALAMITOS",ORANGE,85,69,51,70,60,67.0
LAFAYETTE,"CONTRA COSTA",67,63,55,78,70,66.6
